,Pips,Acc,Wons,Losts,Expired,Trades,Longs,Shorts,openHour,endHour,openCandles,lvlNumber,minDiff,candleMinutes,minMovement,tp,sl,waitingCandles
65,-0.010240000000002166,0.23529411764705882,1,0,33,34,29,5,8,15,5,1,0.2,"[0, 20, 40]",0.0005,0.0015,0.0015,5
66,0.0016399999999996196,0.6666666666666666,0,1,5,6,5,1,8,15,5,1,0.2,"[0, 20, 40]",0.0005,0.002,0.001,1
67,0.00013999999999872033,0.375,0,3,21,24,19,5,8,15,5,1,0.2,"[0, 20, 40]",0.0005,0.002,0.001,3
68,-0.003640000000001839,0.3235294117647059,0,3,31,34,29,5,8,15,5,1,0.2,"[0, 20, 40]",0.0005,0.002,0.001,5
69,-0.0006400000000005502,0.5,0,0,6,6,5,1,8,15,5,1,0.2,"[0, 20, 40]",0.0005,0.002,0.0015,1
70,-0.006200000000001619,0.25,0,0,24,24,19,5,8,15,5,1,0.2,"[0, 20, 40]",0.0005,0.002,0.0015,3
71,-0.009980000000002182,0.23529411764705882,0,0,34,34,29,5,8,15,5,1,0.2,"[0, 20, 40]",0.0005,0.002,0.0015,5
72,-0.0015000000000010118,0.24242424242424243,3,3,27,33,24,9,8,15,5,2,0.1,"[0, 20, 40]",0.0003,0.001,0.001,1
73,-0.009430000000002775,0.20588235294117646,4,5,59,68,51,17,8,15,5,2,0.1,"[0, 20, 40]",0.0003,0.001,0.001,3
74,-0.011550000000003575,0.1927710843373494,4,6,73,83,64,19,8,15,5,2,0.1,"[0, 20, 40]",0.0003,0.001,0.001,5
75,-0.0027000000000011017,0.21212121212121213,3,2,28,33,24,9,8,15,5,2,0.1,"[0, 20, 40]",0.0003,0.001,0.0015,1
76,-0.014620000000003025,0.16176470588235295,4,2,62,68,51,17,8,15,5,2,0.1,"[0, 20, 40]",0.0003,0.001,0.0015,3
77,-0.016740000000003807,0.1566265060240964,5,2,76,83,64,19,8,15,5,2,0.1,"[0, 20, 40]",0.0003,0.001,0.0015,5
78,-0.003290000000001079,0.21212121212121213,0,3,30,33,24,9,8,15,5,2,0.1,"[0, 20, 40]",0.0003,0.0015,0.001,1
79,-0.011150000000002942,0.19117647058823528,0,5,63,68,51,17,8,15,5,2,0.1,"[0, 20, 40]",0.0003,0.0015,0.001,3
